Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9_10,Mut3,Mut4,Mut5,Mut6,Mut7_8,Mut9_10
COL16A1,9.562352229,8.319501797,5.599561454,7.696755794,8.517770065,8.794691302,8.207615711,8.513716418,8.478785499,8.044545963,7.296133488,8.088375963,8.743024859,8.560807499
COL18A1,9.107850177,5.500510002,4.882704623,6.830438734,7.791037173,8.755253177,5.758814593,7.457076199,7.930026944,5.840033628,5.684487396,7.666039833,7.320486873,7.892575899
COL19A1,0,0,0.058980731,0,0.049189022,0.21024071,0,0.041134591,0.046326194,0,0,0,0.017569482,0.096199118
COL1A1,10.4969125,6.901553621,5.800877239,7.601521489,10.71219811,13.79373641,7.298711997,9.800747084,9.598777748,6.251487944,6.931613649,9.481722681,9.188154336,10.68359323
COL1A2,10.3544437,7.079496974,5.347895886,7.831468693,10.88389227,13.81587797,7.624830592,9.776916797,9.515871386,6.423122055,7.227881452,9.505245292,9.344248576,10.70663268
COL20A1,0.628886581,1.122386459,2.450236848,1.086649255,0.90078252,2.499308112,1.049559787,0.858733349,2.287828788,1.085564604,1.032626902,0.812312901,0.894788736,1.255835964
COL22A1,0,0.091385254,0,0.107692669,0.049189022,1.853870531,0.401597099,0.080049503,0.407428758,0.175665483,0.15858777,0,0.07089407,0
COL23A1,2.820632222,0.258432086,2.370987679,1.005433476,3.797233706,4.504741015,1.191485455,2.606338069,1.701152957,0.229768854,0.081471877,2.432608707,1.74602073,3.668069823
COL24A1,0.927147283,0.543741997,0,0.696019351,2.318623632,4.41917175,0.691705171,1.379891862,1.743947084,0.757525301,1.455707126,1.405724379,1.220134318,2.584171529
COL25A1,2.896694031,5.046246845,3.444918161,4.457116179,4.881412818,1.361101256,4.311572506,3.989063644,4.681999165,4.159972187,4.692957826,4.392336808,3.920186379,4.299939613
