gene_id,MCF7_1,MCF7_2,MCF7_3,TamR_1,TamR_2,TamR_3
NRARP,4.22881869,3.966245873,3.963474124,5.00495076,4.631104282,4.634012356
NRAS,8.228674414,7.537761979,7.77939106,8.508587112,8.284569655,8.173527238
NRBF2,4.22881869,4.241077458,4.346956889,4.868390453,4.726831217,4.577730931
NRBP1,8.080177964,8.157902683,8.035183997,7.780244473,7.740050563,7.842476063
NRBP2,4.401220862,4.578334949,4.445594291,4.646738698,4.67468662,4.758089934
NRCAM,6.172527519,5.665904355,5.921483937,5.108106224,5.007644031,4.996840648
NRD1,6.786596362,6.480749817,6.528258743,6.898087397,6.63778411,6.719594172
NRDE2,3.548436625,3.574101508,3.49057013,4.165911939,4.025028794,4.161081482
NREP,2.648465443,2.553360503,2.587364991,4.511594542,4.434294618,4.653633311
NREP-AS1,0,0,0,0,0,0
NRF1,3.708187236,3.518535139,3.681449265,3.914564523,3.975446766,3.991861931
NRG1,0.028569152,0.124328135,0,0,0,0
NRG1-IT3,0,0,0,0,0,0
