Hugo name,MCF7_1,MCF7_2,MCF7_3,MCF7_4,MCF7_13,MCF7_14,MCF7_15,MCF7_16
LYPD1,1.122361288,0.95468023,1.214081275,1.357236689,1.387847769,1.408092266,1.302751868,1.352363057
LYPD6B,4.450657011,4.210825223,4.225498598,4.302048475,2.342950067,2.51333156,2.19178687,2.477980339
PDCD4,5.919163668,5.839788308,6.071177013,6.044617064,6.895629808,7.11701966,7.050991364,7.070110208
ADRA2A,0,0.054393132,0.12020554,0.108181983,0.946408978,0.951463213,0.970442869,0.839963617
GPM6A,1.436694888,1.430724171,1.192427756,1.418411261,1.158686024,1.277437312,1.594992755,1.139914743
WDR17,1.987622836,1.735604491,1.694425589,1.745323396,1.949389255,1.73686893,1.790759529,1.656043241
SPATA4,0.033757333,0.671009788,0.22039311,0.494228189,0.13510666,0.06661966,0.081758875,0.100659211
VEGFC,1.086083984,1.113753833,1.107627616,1.219741612,0.562889583,0.6203809,0.761047784,0.424414772
CCDC102B,0.391352006,0.690295506,0.078653552,0.400496397,0.761287827,0.298451866,0.044304582,0.215816492
CD226,0.08476217,0.118918222,0.180242085,0.119748988,0.064954157,0.108401609,0.120422547,0.190026917
CNDP1,1.627406061,1.628647631,1.856710865,1.845907494,1.959399235,1.158621401,1.357405616,1.746102044
FSIP1,0.466707507,0.281816925,0.613547683,0.306917808,0.531989728,0.480505034,0.474045561,0.679924578
DLG2,2.475079693,3.012178897,2.990504742,2.68621364,1.28847669,1.29564075,1.5534883,0.952757738
CCDC83,1.866820959,2.154732253,1.749246773,2.017636903,0.96190184,1.240723417,0.949681343,0.97829083
RGS18,0.252185526,0,0.069821206,0,0.034397591,0,0.253074362,0
PRSS23,2.476602028,2.645309694,2.508910316,2.737143756,6.09632933,6.445493319,6.172401505,6.215552414
MTMR12,3.861250712,4.040629461,4.121827725,4.058151953,3.754588245,3.981560432,3.739146022,3.861766829
PPP1R1C,1.507160349,2.074152597,1.956673756,1.435068474,1.712600182,1.961527022,0.84931797,1.481087069
0,0,0,0,0,0,0,0,0
C11orf53,0,0,0,0,0,0,0.055649775,0
CCT5,8.004568806,7.992864713,8.1356426,8.095866416,8.61075542,8.824872844,8.599544685,8.824729673
FAM173B,3.841651143,3.852608157,3.79731394,3.971046859,3.962289888,3.932741527,4.140263316,4.01180869
DOCK1,4.524753256,4.622122122,4.672249945,4.553950241,4.354550895,4.477036131,4.516998468,4.528733832
DIXDC1,1.437227739,1.342093874,1.398410573,1.455759882,1.732755444,1.355157256,1.55333101,1.364314685
