,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_FasR1,MCF7_FasR2,MCF7_FasR3
ATP6V0E1P1,0,0,0,0,0,0
ATP6V0E1P2,0,0,0,0,0,0
ATP6V0E1P3,0,0,0,0,0,0
ATP6V0E1P4,0,0,0,0,0,0
ATP6V0E2,5.476705707,5.383358695,5.706254254,5.367720513,5.105175192,5.583158004
ATP6V0E2-AS1,0.722466024,0.622930351,0.704871964,1.333423734,1.063502942,1.469885976
ATP6V1A,4.925049965,5.001351893,4.844486088,4.577126661,4.299391206,4.515384461
ATP6V1B1,3.228049048,2.403267722,2.596935142,3.026800059,2.726831217,2.709290636
ATP6V1B1-AS1,0,0.042644337,0,0.084064265,0,0
ATP6V1B2,4.051372102,4.269781238,4.161887682,4.803743669,4.017921908,4.62058641
ATP6V1C1,5.996162743,6.30103885,6.102238194,6.194559886,5.111448698,5.664198369
ATP6V1C2,1.731183242,1.799087306,1.510961919,2.073820233,2.111031312,2.319039816
ATP6V1D,5.827819025,6.148730779,5.90833257,5.672142433,5.827565007,5.766065051
ATP6V1E1,5.924575003,6.245267467,6.227664073,6.731319031,6.662917555,7.029452886
ATP6V1E1P1,0,0,0.084064265,0.056583528,0,0.070389328
ATP6V1E2,3.86393845,3.770829046,3.688180359,2.653060017,2.056583528,2.260025656
ATP6V1F,7.201731867,7.518849829,7.652271365,7.708118246,8.053274282,7.999267195
ATP6V1G1,6.986297154,7.270902649,7.09592442,7.149442293,7.400794067,7.201143732
ATP6V1G1P2,0,0,0,0,0,0
ATP6V1G1P3,0,0,0,0,0,0
ATP6V1G1P4,0,0,0,0.286881148,0,0
ATP6V1G1P6,0,0,0,0,0,0
ATP6V1G1P7,0,0,0,0,0,0
ATP6V1G2,1.545968369,1.713695815,1.244887059,1.049630768,0.722466024,1.049630768
ATP6V1G2-DDX39B,4.167518504,4.229587923,4.13422094,3.958842675,4.713695815,4.421559945
ATP6V1G3,0,0,0,0,0,0
ATP6V1H,4.482848283,4.711494907,4.678635348,4.197708158,4.384049807,4.353323291
ATP7A,1.214124805,1.176322773,0.963474124,1.35614381,0.757023247,0.925999419
ATP7B,2.604071324,2.613531653,2.548436625,3.010779839,2.3305584,2.744161096
ATP8A1,0.748461233,0.678071905,0.526068812,1.941106311,1.673556424,1.584962501
ATP8A2,0.963474124,1.367371066,1.13093087,1.23878686,0.687060688,0.782408565
ATP8A2P1,0,0,0,0,0,0
ATP8A2P2,0,0,0,0,0,0
ATP8A2P3,0,0,0,0,0,0
ATP8B1,4.194559886,4.09423607,4.088311236,3.701549057,2.910732662,3.292781749
ATP8B2,4.807870078,4.911212202,4.818646083,1.967168608,1.443606651,2.266036894
ATP8B3,1.752748591,1.416839742,1.40599236,0.389566812,0.286881148,0.201633861
ATP8B4,0.176322773,0.22650853,0.201633861,0.084064265,0.014355293,0
ATP8B5P,0.014355293,0.014355293,0.042644337,0.070389328,0.028569152,0.042644337
ATP9A,4.932628157,4.767125077,4.671293372,4.879215637,3.438292852,4.036503334
ATP9B,3.040892431,2.963474124,2.682573297,2.711494907,2.381283373,2.726831217
ATPAF1,5.6395216,5.915042791,5.826039959,5.607330314,5.54225805,5.770036139
ATPAF2,5.47118746,5.808642468,5.681730355,5.218781168,5.045705065,5.34553831
ATPIF1,7.441533277,7.821582673,7.805872822,7.532628658,7.951168129,7.899115195
ATR,3.628773595,3.489286023,3.3305584,4.00270252,4.06436554,3.71918344
ATRAID,7.353940751,7.355703467,7.334586152,7.815191137,7.760753208,7.759621917
ATRIP,3.298658316,3.488000771,3.443606651,3.534808661,3.014355293,3.560714954
ATRN,3.491853096,3.458119481,3.329123596,3.710393192,2.3305584,3.065227623
ATRNL1,0.485426827,0.871843649,0.887525271,0.070389328,0.056583528,0
ATRX,3.922197848,3.838951767,3.723558561,3.418189948,2.250961574,2.881664619
ATXN1,1.948600847,2.114367025,2.160274831,2.485426827,1.731183242,2.025028794
ATXN10,6.638653116,7.112595888,6.842098871,7.079804755,6.900263044,7.642412773
ATXN1L,3.860962798,4.145677455,3.926948248,3.683696454,2.786596362,3.184280294
ATXN2,4.787641414,5.085764554,4.821199978,4.078951341,4.373648211,3.950468414
ATXN2L,6.820306629,6.813781191,6.881419908,6.757289992,6.89917563,6.666898582
ATXN3,5.69849632,5.465974465,5.469885976,4.5987225,4.526068812,4.788685711
ATXN3L,0,0,0,0,0,0
ATXN7,4.181102551,4.241840184,4.039138394,4.271276259,3.476381688,3.676944359
ATXN7L1,2.538538164,2.655351829,2.543495883,2.780310099,2.295723025,2.618238656
ATXN7L2,4.377123749,4.085764554,4.105175192,3.270528942,3.021479727,3.196921734
ATXN7L3,4.484138131,4.945326777,4.810957159,4.46008724,4.307428525,4.709290636
ATXN7L3B,5.077670274,5.516015147,5.292781749,5.045705065,4.544114402,5.09000653
ATXN8OS,0,0,0,0,0,0
AUH,3.389566812,3.7473874,3.554588852,3.084064265,3.028569152,2.969012308
