gene_id,MCF7_1,MCF7_2,MCF7_3,FulR_1,FulR_2,FulR_3
PDIA3,7.846117173,7.480103521,7.558497247,8.184577849,7.725400344,7.816151675
PDIA3P,3.397802962,3.023255352,3.378511623,3.663344619,3.590961241,3.608809243
PDIA4,7.274913895,7.149340669,7.155121802,7.41083291,7.214416269,7.2329485
PDIA5,4.597531174,4.639232163,4.557655155,4.054848477,4.022367813,4.158660175
PDIA6,8.724820777,8.439581585,8.56315813,8.798892964,8.571032064,8.682292371
PDIK1L,3.484138131,2.792855352,2.983677695,3.584962501,3.326249701,3.22650853
PDILT,0,0,0,0,0,0
PDK1,4.200064862,3.870857864,3.993674362,5.128870759,4.926948248,5.110613806
PDK2,4.772413555,4.968090752,4.882153917,5.078951341,5.04745114,5.051807107
PDK3,4.949067966,4.655924213,4.746312766,4.63691458,4.498250868,4.479618608
PDK4,1.691534165,1.438292852,1.464668267,2.744161096,2.353323291,2.513490746
