"","WS8V_1","WS8V_2","MCF7V_1","MCF7V_2","TAMRV_1","TAMRV_2"
"NUBPL",3.45437988649039,3.47842440280121,3.91670152307521,3.56761838174,3.99351817697711,3.97722333441171
"NUCB1",6.9021027595139,7.0024021336989,7.22928415381126,7.38561675503394,7.02545938378501,7.14938755322663
"NUCB2",6.37627894827416,6.34488020014169,6.13515281769659,6.27884671362622,5.11520747600684,5.15832178061699
"NUCKS1",10.0183536546589,9.83987233470099,10.3134778711301,10.0461382753727,10.5547559784053,10.3323569330954
"NUDC",5.96398717271086,6.09832514052329,6.62714316020392,6.1507137976223,6.01079481989585,6.08744897027428
"NUDCD1",6.08023447216072,6.01604277252673,5.73009659415022,5.83243779452236,6.26740498912926,6.07524991256475
"NUDCD2",5.06881168163295,4.88354527240635,5.11232136852481,4.98212737132532,4.91369836336481,4.88972141677104
"NUDCD3",3.27437000984058,3.32850147891923,3.90850253864515,3.67177352338878,3.29371315285638,3.10132019887697
"NUDT1",3.57000445746221,3.62558769109275,4.15101013006325,3.24585868569241,4.96524578234514,4.91585964192574
"NUDT10",0,0,0,0.0573695346363082,0,0
"NUDT11",0.488985409650263,0.373119946879584,0.382722610882854,0.491255531456231,0.106337553747695,0.0494491605942155
"NUDT12",4.49090026064473,4.12649368353613,5.117650940998,4.83019775238787,5.64804106634636,5.24806983565913
"NUDT13",2.27817242411808,1.96886885335554,2.0024364398637,2.2424939431474,1.88247400357245,1.92947496011803
"NUDT14",3.93342369606198,4.01298192088468,4.95163883612873,4.34575200689659,4.09300172248937,4.45531048756988
"NUDT15",4.94117072152951,4.94878798263379,5.28286985992564,4.77657589851662,3.97144769119282,3.73810648320911
"NUDT16",6.11330963132078,6.17107719117902,7.16777909626951,6.68116284769407,5.25456045501737,5.2934151894256
"NUDT16L1",5.76291333151769,5.79421483759984,5.99548530705448,5.95542579599948,5.16204107942953,5.29725835365731
"NUDT17",3.30019891898284,3.36877976669983,3.80723799518548,3.59689160739544,3.61994988419046,3.6328352711895
"NUDT18",3.38664815459402,3.53002535831767,3.40482210598898,3.44064980168385,3.44701175476483,3.78630235062943
"NUDT19",4.9724077982272,4.96421610175612,4.98567359735639,5.09523302100356,5.17889589328724,4.98097335119157
"NUDT2",4.38260216576554,4.46618884743558,4.32883658873283,4.43077755441638,3.65404001561372,3.74937092423934
"NUDT21",7.16295853094312,6.99047617660979,7.24914780314872,7.14012698344075,7.14302759529674,7.02998894551168
"NUDT22",4.82500328739316,5.00864723272136,4.34987280018678,4.4948317575431,4.12983225369407,4.41519837288596
"NUDT3",6.8294813023565,6.60891630200207,7.4705742498762,7.20226375609175,7.78776572918814,7.582048210096
"NUDT4",8.39771884590472,8.18847627590351,8.76430560935128,9.04884782649926,9.11357757301742,8.95250825364393
"NUDT5",5.72146365788002,5.67031069824858,5.91915079627342,5.69151703190333,6.26179909708005,6.17549478435961
"NUDT6",2.11804077077511,2.24119474837328,2.77464144448775,2.4119909966793,2.09381314373775,1.94186975652959
"NUDT7",2.62642165538097,2.64297917498915,2.46936920884164,2.64295345328655,2.75970582910338,2.59178151371386
